"";"arv";"dap";"ht";"vprod_6";"vtoco";"vponta";"vcilcc";"vtsc";"ffsc";"ffcom"
"39";39;12,48;25,5;0,125887588256241;0,0014573760669568;0,00728593039089682;0,311931499176466;0,134630894714094;0,431604038288968;0,403574466152339
"40";40;20,69;30,1;0,423082676380974;0,00359143303309131;0,00445092739824722;1,01199265003037;0,431125036812312;0,426015976301185;0,41806892210954
"41";41;21,45;30,7;0,471668728120234;0,00425726271416388;0,0038856753380381;1,10938643151694;0,479811666172436;0,432501833933876;0,425161796395227
"42";42;18,94;26;0,299543574989849;0,00369359087176184;0,00382403921944511;0,732526227179034;0,307061205081056;0,419181175619543;0,408918566838752
"43";43;10,25;18,2;0,0572046866174596;0,00137595236280884;0,00714478380302581;0,150178928066339;0,0657254227832942;0,437647435825759;0,380910207270826
"44";44;12,41;21,2;0,107881427082207;0,00159216421480348;0,00575743053662294;0,256430279243261;0,115231021833634;0,449365894595937;0,420704713189765
"45";45;13,37;23,8;0,135454872100147;0,00147928311509659;0,00615316691814983;0,334140911471999;0,143087322133393;0,42822449218519;0,40538248220915
"46";46;7,96;14,8;0,0220080243861956;0,0008187312468502;0,00862367183410398;0,0736508447194872;0,0314504274671497;0,427020594087339;0,298815641151397
"47";47;18,62;25,8;0,284749616458877;0,0032060079950227;0,00406594055373632;0,702536577424681;0,292021565007636;0,415667417742307;0,40531642850924
"48";48;12,1;21,9;0,0920421307172399;0,00126158723756425;0,0067205012720758;0,251828417775615;0,10002421922688;0,397191945652472;0,365495409653297
"49";49;17,63;26,1;0,247236630852792;0,00254186340141767;0,00458662755751781;0,637140208497639;0,254365121811728;0,399229429282943;0,388041168263058
"50";50;11,62;21,9;0,0954367296418323;0,00112307039622888;0,00657367696869089;0,232244935544715;0,103133477006752;0,444072017178155;0,410931370442985
"51";51;9,87;19,33;0,0534914648242146;0,000932104539878123;0,00832207893935936;0,147895868046706;0,0627456483034521;0,42425558693524;0,361683294676777
"52";52;18,46;30,24;0,329432503288937;0,0026764138877801;0,00483087190332007;0,809347559664702;0,336939789080037;0,416310378719898;0,407034653227861
"53";53;8,59;17,76;0,0347572621368665;0,000732595562128899;0,00885349141976275;0,102924595879763;0,0443433491187581;0,430833356592046;0,337696367323804
"54";54;14,64;26,36;0,187588362103832;0,0016994767472841;0,00544663722468322;0,443728619595707;0,194734476075799;0,438859400714849;0,42275470596138
"55";55;16,23;23,34;0,185378322845461;0,00225061486021945;0,00447269014986005;0,482867274380707;0,19210162785554;0,397835260428276;0,383911548123062
