"x";"y";"layer";"pred"
683211,935367831;8050746,96703492;4;189,973852481998
683231,851491795;8050746,96703492;4;189,774029256434
683251,767615759;8050746,96703492;4;189,58317768548
683271,683739723;8050746,96703492;4;189,40252165916
683211,935367831;8050726,98386337;4;190,126076348714
683231,851491795;8050726,98386337;4;189,917589856466
683251,767615759;8050726,98386337;4;189,717801817067
683271,683739723;8050726,98386337;4;189,527762389808
683291,599863688;8050726,98386337;4;189,348486738492
683311,515987652;8050726,98386337;4;189,1810543695
683331,432111616;8050726,98386337;4;189,026828056022
683231,851491795;8050707,00069182;4;190,084385417011
683251,767615759;8050707,00069182;4;189,877206849394
683271,683739723;8050707,00069182;4;189,679765155802
683291,599863688;8050707,00069182;4;189,492806132705
683311,515987652;8050707,00069182;4;189,31690417275
683331,432111616;8050707,00069182;4;189,152586989658
683351,34823558;8050707,00069182;4;189,000604708419
683371,264359544;8050707,00069182;4;188,862497921955
683391,180483508;8050707,00069182;4;188,741982317411
683411,096607473;8050707,00069182;4;188,648996607453
683431,012731437;8050707,00069182;4;188,612559461379
683231,851491795;8050687,01752028;4;190,27591662539
683251,767615759;8050687,01752028;4;190,06318736014
683271,683739723;8050687,01752028;4;189,860824943095
683291,599863688;8050687,01752028;4;189,669458731107
683311,515987652;8050687,01752028;4;189,489329710544
683331,432111616;8050687,01752028;4;189,320348066426
683351,34823558;8050687,01752028;4;189,162216610131
683371,264359544;8050687,01752028;4;189,014609828343
683391,180483508;8050687,01752028;4;188,877479030389
683411,096607473;8050687,01752028;4;188,752016469736
683431,012731437;8050687,01752028;4;188,647067321491
683450,928855401;8050687,01752028;4;188,675994989376
683470,844979365;8050687,01752028;4;189,038330163743
683490,761103329;8050687,01752028;4;189,465920938329
683231,851491795;8050667,03434873;4;190,493228808442
683251,767615759;8050667,03434873;4;190,276899459434
683271,683739723;8050667,03434873;4;190,072374166417
683291,599863688;8050667,03434873;4;189,880390355026
683311,515987652;8050667,03434873;4;189,701133172042
683331,432111616;8050667,03434873;4;189,53433571583
683351,34823558;8050667,03434873;4;189,379482916262
683371,264359544;8050667,03434873;4;189,236071351188
683391,180483508;8050667,03434873;4;189,103961190591
683411,096607473;8050667,03434873;4;188,984331943239
683431,012731437;8050667,03434873;4;188,88599887011
683450,928855401;8050667,03434873;4;188,922314778282
683470,844979365;8050667,03434873;4;189,293616241789
683490,761103329;8050667,03434873;4;189,73055771276
683510,677227293;8050667,03434873;4;190,177665278965
683530,593351258;8050667,03434873;4;190,627112319542
683550,509475222;8050667,03434873;4;191,075282449206
683570,425599186;8050667,03434873;4;191,519556474577
683590,34172315;8050667,03434873;4;191,957816137871
683231,851491795;8050647,05117718;4;190,736868183432
683251,767615759;8050647,05117718;4;190,518756407527
683271,683739723;8050647,05117718;4;190,314799092441
683291,599863688;8050647,05117718;4;190,126078947968
683311,515987652;8050647,05117718;4;189,952964682546
683331,432111616;8050647,05117718;4;189,795381679351
683351,34823558;8050647,05117718;4;189,653357115953
683371,264359544;8050647,05117718;4;189,527860028663
683391,180483508;8050647,05117718;4;189,422343231243
683411,096607473;8050647,05117718;4;189,346786525934
683431,012731437;8050647,05117718;4;189,330417170733
683450,928855401;8050647,05117718;4;189,443384466595
683470,844979365;8050647,05117718;4;189,72788161213
683490,761103329;8050647,05117718;4;190,113618261222
683510,677227293;8050647,05117718;4;190,539597164503
683530,593351258;8050647,05117718;4;190,981164708346
683550,509475222;8050647,05117718;4;191,427556427058
683570,425599186;8050647,05117718;4;191,872866416283
683590,34172315;8050647,05117718;4;192,313294859695
683610,257847114;8050647,05117718;4;192,746198309473
683630,173971079;8050647,05117718;4;193,169686313864
