"fazenda";"talhao";"area";"matgen";"idade";"parcela";"areaparc";"nfustes";"percfalhas";"percmortas";"percquebradas";"hdom";"areabasal";"ima";"vcomcc";"vcomsc";"vtsc";"vtcc"
1;21;89,01;6;5,63;68;400;1050;8,89;0;0;26,1;19,72;39,75;201,72;180,49;195,98;223,99
1;21;89,01;6;5,63;72;400;1075;2,27;0;0;28,68;25,05;54,49;284,84;250,9;268,62;307,01
1;23;95,52;6;5,67;75;400;825;5,88;0;0;27,13;18,79;39,02;203,61;178,68;193,58;221,24
1;23;95,52;6;5,67;77;400;1000;2,5;0;0;27,55;23,59;50,86;266,2;231,66;252,34;288,4
1;23;95,52;6;5,67;78;400;925;5,13;0;0;26,85;20,77;42,22;220,89;192,36;209,46;239,4
1;23;95,52;6;5,67;80;400;1100;0;0;0;25,88;21,07;41,38;212,75;187,91;205,28;234,62
1;49;68,39;6;5,7;81;400;950;7,32;0;0;26,23;20,27;42,51;223,34;196,99;212,58;242,41
1;49;68,39;6;5,7;82;400;1025;4,65;0;0;25,13;20,94;41,84;219,34;194,39;209,23;238,58
1;49;68,39;6;5,7;83;400;1025;2,38;2,38;0;26,13;19,94;40,82;211,07;188,35;204,16;232,81
1;49;68,39;6;5,7;84;400;1025;4,65;0;0;23,8;17,58;32,16;162,71;145,39;160,86;183,43
1;49;68,39;6;5,7;85;400;1000;7,32;0;0;24,35;17,93;34,16;174,96;157,46;170,84;194,81
1;49;68,39;6;5,7;86;400;875;16,67;0;0;25,93;19,16;39,65;209,15;184,45;198,28;226,1
1;50;85,24;6;5,72;89;400;975;2,5;0;0;25,88;19,66;40,5;211,1;187,52;203,13;231,63
1;50;85,24;6;5,72;91;400;925;0;0;0;25,73;17,17;34,07;176,05;156,99;170,89;194,87
1;50;85,24;6;5,72;92;400;1100;0;0;0;25,85;21,99;45,82;239,05;212,07;229,8;262,04
1;50;85,24;6;5,72;93;400;1050;0;0;0;26,1;19,4;39,65;205,16;182,36;198,86;226,76
1;17;33,84;6;5,54;94;400;1150;13,21;3,77;0;22,15;16,86;28,75;135,54;119,34;141,09;159,31
1;17;33,84;6;5,54;95;400;1100;13,73;3,92;0;22,91;16,78;29,46;140,36;126,79;144,56;163,23
1;18;87,67;6;5,48;98;400;1225;12,5;0;0;22,15;18,16;31,21;146,49;129,57;151,34;170,88
1;18;87,67;6;5,48;101;400;1075;18,87;5,66;0;25,05;19,37;36,54;178,32;163,26;177,2;200,09
1;18;87,67;6;5,48;102;400;1325;1,85;5,56;0;24,58;21,34;39,97;191,98;174,51;193,81;218,84
1;48;114,52;6;5,51;104;400;1150;6,12;0;0;23,2;18,04;34,55;166,54;149,41;166,81;190,22
1;48;114,52;6;5,51;106;400;1275;1,92;0;0;22,73;17,93;33,25;156,75;136,89;160,54;183,07
1;48;114,52;6;5,51;107;400;1275;1,92;3,85;0;22,45;18,49;33,88;161,4;140,13;163,57;186,53
1;48;114,52;6;5,51;108;400;1300;1,89;0;0;23,73;19,73;38,05;181,41;164,21;183,71;209,49
1;48;114,52;6;5,51;111;400;1325;3,64;1,82;0;22,85;19,72;37,11;176,78;154,71;179,16;204,3
