"arv";"dap";"ht";"vcomcc";"vcomsc"
1;20,1;24,6;0,3421224;0,2887398
2;19,2;22,4;0,2954608;0,2578514
3;16,1;23,3;0,2175912;0,1876428
4;16,6;23,9;0,2357802;0,2001354
5;21,2;24,5;0,3801172;0,3341418
6;12,3;22,1;0,1261386;0,1078838
7;9,8;19,4;0,065424;0,05781
9;14,1;22,6;0,1642932;0,14147
10;16,1;24,9;0,2334866;0,2054182
12;17,2;24,5;0,24299;0,2155232
13;18,1;25,6;0,3235292;0,2856096
14;23,2;26,8;0,481139;0,410827
15;21,2;27,1;0,3911152;0,3457696
16;18,7;24,9;0,2783716;0,2449734
18;15,2;24,5;0,1736932;0,1523364
19;20,1;27,8;0,3930046;0,3534964
20;8,3;15,6;0,0367916;0,0316216
21;22;29,9;0,4648206;0,410451
22;17,5;27,5;0,3043344;0,2695074
23;18,3;27,8;0,3049078;0,26273
24;19,5;27,6;0,3197316;0,284632
25;10,7;20,3;0,0730662;0,0633748
26;14,4;23,9;0,1713714;0,1511332
27;6,6;13,5;0,0198716;0,0168448
28;10,6;19,1;0,0742224;0,0624066
29;17,8;23,4;0,2528506;0,2208624
31;20,7;24,1;0,3282762;0,2875648
32;18,7;24;0,2971058;0,2635196
33;13,4;23,2;0,1534832;0,132963
34;21,3;24,2;0,327261;0,2865872
35;11,7;21,7;0,1098296;0,0957954
36;16;24,1;0,1924462;0,1658724
37;19,9;25;0,3359372;0,2977732
38;22,5;25,4;0,4262054;0,3724844
39;18,7;26,3;0,3304006;0,2918136
40;17,8;25,2;0,2746022;0,2405366
41;14,9;24,6;0,1969488;0,1719636
42;18,6;24,8;0,2901592;0,251732
43;15,5;23;0,1944954;0,1700742
45;15,3;24,4;0,204591;0,176297
46;13,3;22,2;0,1197184;0,1069156
47;10,7;19,2;0,0669468;0,0585808
48;21,4;27,2;0,3879286;0,3378454
49;22,7;25,4;0,4205278;0,364297
50;20,2;25,3;0,3390016;0,2981868
